cnpj;razao_social;numero_nota;data_emissao;codigo_item;descricao_item;quantidade;valor_unitario;imposto_item
04.163.295/0001-78;Teixeira;112331;2025-03-19;884941;A certeza de ganhar direto da fonte;6;690.81;804.44
04.163.295/0001-78;Teixeira;306131;2025-04-21;762683;A simplicidade de conseguir de maneira eficaz;10;400.7;470.87
04.163.295/0001-78;Teixeira;306131;2025-04-21;177432;O prazer de mudar com toda a tranquilidade;8;525.97;602.11
04.163.295/0001-78;Teixeira;306131;2025-04-21;523186;O conforto de realizar seus sonhos de maneira eficaz;6;973.54;780.77
04.163.295/0001-78;Teixeira;916463;2025-05-11;668518;O poder de realizar seus sonhos antes de tudo;9;208.24;346.39
04.163.295/0001-78;Teixeira;916463;2025-05-11;811658;A liberdade de evoluir naturalmente;5;621.4;258.47
04.163.295/0001-78;Teixeira;916463;2025-05-11;431069;A vantagem de inovar antes de tudo;6;338.06;390.4
04.163.295/0001-78;Teixeira;948853;2025-04-13;964086;A arte de realizar seus sonhos de maneira eficaz;3;526.07;227.68
04.163.295/0001-78;Teixeira;948853;2025-04-13;298821;O prazer de atingir seus objetivos com confiança;7;546.31;208.98
04.163.295/0001-78;Teixeira;948853;2025-04-13;233573;A vantagem de ganhar sem preocupação;3;456.21;95.79
04.163.295/0001-78;Teixeira;439522;2025-03-24;807812;O poder de avançar simplesmente;8;611.12;681.88
04.163.295/0001-78;Teixeira;439522;2025-03-24;333997;A arte de atingir seus objetivos sem preocupação;1;434.18;104.38
04.163.295/0001-78;Teixeira;439522;2025-03-24;917036;A liberdade de realizar seus sonhos em estado puro;1;711.9;53.4
04.163.295/0001-78;Teixeira;827083;2025-03-29;880544;A segurança de inovar com confiança;8;817.22;630.26
04.163.295/0001-78;Teixeira;827083;2025-03-29;897514;A liberdade de evoluir simplesmente;4;668.03;469.06
04.163.295/0001-78;Teixeira;827083;2025-03-29;811512;O conforto de avançar mais facilmente;3;481.85;311.69
04.163.295/0001-78;Teixeira;827083;2025-03-29;739371;A certeza de avançar mais rapidamente;7;752.73;423.17
04.163.295/0001-78;Teixeira;827083;2025-03-29;487283;A segurança de inovar antes de tudo;1;645.52;69.19
04.163.295/0001-78;Teixeira;299627;2025-03-26;910626;O poder de avançar com força total;7;724.36;964.39
04.163.295/0001-78;Teixeira;299627;2025-03-26;528897;A possibilidade de realizar seus sonhos mais rapidamente;4;999.71;252.8
04.163.295/0001-78;Teixeira;299627;2025-03-26;690233;A arte de inovar direto da fonte;6;979.16;1153.9
04.163.295/0001-78;Teixeira;299627;2025-03-26;239234;O direito de mudar de maneira eficaz;7;342.0;423.9
04.163.295/0001-78;Teixeira;299627;2025-03-26;799525;O prazer de avançar sem preocupação;8;195.49;235.7
04.163.295/0001-78;Teixeira;422580;2025-04-20;743977;A liberdade de evoluir mais facilmente;9;363.11;219.11
04.163.295/0001-78;Teixeira;422580;2025-04-20;391217;A segurança de atingir seus objetivos simplesmente;7;515.5;862.98
04.163.295/0001-78;Teixeira;422580;2025-04-20;207237;A segurança de atingir seus objetivos mais facilmente;2;144.18;25.01
04.163.295/0001-78;Teixeira;422580;2025-04-20;874845;O conforto de realizar seus sonhos com toda a tranquilidade;10;699.29;1165.62
04.163.295/0001-78;Teixeira;588377;2025-04-23;862504;O poder de inovar mais rapidamente;2;168.68;65.82
04.163.295/0001-78;Teixeira;588377;2025-04-23;388202;O prazer de atingir seus objetivos com toda a tranquilidade;4;733.21;381.02
04.163.295/0001-78;Teixeira;588377;2025-04-23;909128;A liberdade de realizar seus sonhos com confiança;8;172.94;215.79
04.163.295/0001-78;Teixeira;588377;2025-04-23;391674;A certeza de inovar com força total;9;323.9;385.52
04.163.295/0001-78;Teixeira;237943;2025-05-06;179836;A segurança de evoluir com toda a tranquilidade;10;974.1;1362.29
04.163.295/0001-78;Teixeira;237943;2025-05-06;777427;A simplicidade de atingir seus objetivos simplesmente;1;816.98;87.2
04.163.295/0001-78;Teixeira;237943;2025-05-06;767797;A segurança de atingir seus objetivos mais rapidamente;2;996.59;465.14
04.163.295/0001-78;Teixeira;776785;2025-03-28;994495;A liberdade de conseguir em estado puro;9;651.1;1225.67
04.163.295/0001-78;Teixeira;776785;2025-03-28;781208;O prazer de concretizar seus projetos com força total;8;331.39;515.28
04.163.295/0001-78;Teixeira;776785;2025-03-28;637641;O poder de atingir seus objetivos com confiança;6;212.55;85.22
04.163.295/0001-78;Teixeira;776785;2025-03-28;781374;O prazer de mudar mais rapidamente;10;823.45;1958.6
04.163.295/0001-78;Teixeira;776785;2025-03-28;173933;A segurança de realizar seus sonhos com toda a tranquilidade;3;200.63;107.43
04.163.295/0001-78;Teixeira;812971;2025-03-17;747868;A liberdade de conseguir mais facilmente;3;509.96;282.67
04.163.295/0001-78;Teixeira;812971;2025-03-17;105541;A segurança de atingir seus objetivos com confiança;8;88.65;168.49
04.163.295/0001-78;Teixeira;812971;2025-03-17;789883;A vantagem de atingir seus objetivos antes de tudo;8;545.6;243.13
04.163.295/0001-78;Teixeira;812971;2025-03-17;687170;A liberdade de atingir seus objetivos naturalmente;10;598.11;1223.88
04.163.295/0001-78;Teixeira;812971;2025-03-17;866777;O prazer de conseguir simplesmente;2;954.11;474.66
04.163.295/0001-78;Teixeira;332960;2025-03-28;119923;A liberdade de inovar antes de tudo;6;777.49;1128.33
04.163.295/0001-78;Teixeira;332960;2025-03-28;840600;A certeza de inovar naturalmente;7;999.42;750.63
04.163.295/0001-78;Teixeira;332960;2025-03-28;944517;A possibilidade de realizar seus sonhos direto da fonte;7;51.45;74.71
04.163.295/0001-78;Teixeira;332960;2025-03-28;577327;A segurança de evoluir em estado puro;3;949.52;260.53
04.163.295/0001-78;Teixeira;332960;2025-03-28;680593;O direito de mudar direto da fonte;5;447.19;405.54
04.163.295/0001-78;Teixeira;352189;2025-05-06;193657;A segurança de ganhar com toda a tranquilidade;7;741.24;1079.29
04.163.295/0001-78;Teixeira;352189;2025-05-06;344456;A arte de inovar em estado puro;8;786.35;724.66
04.163.295/0001-78;Teixeira;352189;2025-05-06;130004;A simplicidade de evoluir de maneira eficaz;9;180.15;234.26
04.163.295/0001-78;Teixeira;620104;2025-04-19;613449;A vantagem de avançar sem preocupação;1;679.07;161.25
04.163.295/0001-78;Teixeira;620104;2025-04-19;666228;O poder de evoluir mais rapidamente;1;613.74;51.17
04.163.295/0001-78;Teixeira;620104;2025-04-19;341127;A simplicidade de atingir seus objetivos mais facilmente;5;255.67;282.01
04.163.295/0001-78;Teixeira;620104;2025-04-19;308269;O direito de realizar seus sonhos simplesmente;9;436.36;521.82
04.163.295/0001-78;Teixeira;582051;2025-05-03;974630;A arte de ganhar com força total;5;871.76;740.16
04.163.295/0001-78;Teixeira;582051;2025-05-03;504600;A liberdade de inovar antes de tudo;4;322.18;263.85
04.163.295/0001-78;Teixeira;582051;2025-05-03;828816;O conforto de mudar mais rapidamente;2;927.65;326.62
04.163.295/0001-78;Teixeira;565198;2025-03-19;858812;A arte de conseguir mais facilmente;8;532.53;742.4
04.163.295/0001-78;Teixeira;565198;2025-03-19;350066;A liberdade de evoluir direto da fonte;8;348.42;271.13
04.163.295/0001-78;Teixeira;962802;2025-04-21;471330;A possibilidade de mudar em estado puro;3;996.52;643.38
04.163.295/0001-78;Teixeira;962802;2025-04-21;572189;O direito de realizar seus sonhos direto da fonte;6;364.13;468.01
04.163.295/0001-78;Teixeira;962802;2025-04-21;379821;O direito de evoluir com toda a tranquilidade;6;143.06;189.03
04.163.295/0001-78;Teixeira;962802;2025-04-21;123259;A liberdade de realizar seus sonhos direto da fonte;8;597.34;1078.87
04.163.295/0001-78;Teixeira;962802;2025-04-21;249878;A simplicidade de avançar naturalmente;4;680.86;220.71
04.163.295/0001-78;Teixeira;333890;2025-04-28;723970;A arte de conseguir direto da fonte;3;166.24;104.75
04.163.295/0001-78;Teixeira;333890;2025-04-28;935511;O poder de avançar antes de tudo;7;117.14;76.38
04.163.295/0001-78;Teixeira;333890;2025-04-28;602866;O direito de conseguir mais rapidamente;1;213.24;21.52
04.163.295/0001-78;Teixeira;623455;2025-03-17;709940;A arte de ganhar simplesmente;7;980.13;572.62
04.163.295/0001-78;Teixeira;623455;2025-03-17;717351;A vantagem de ganhar direto da fonte;10;277.13;297.12
04.163.295/0001-78;Teixeira;623455;2025-03-17;460211;A segurança de evoluir mais facilmente;10;148.17;368.03
04.163.295/0001-78;Teixeira;572245;2025-04-26;226778;A liberdade de concretizar seus projetos naturalmente;9;928.26;1153.69
04.163.295/0001-78;Teixeira;572245;2025-04-26;340784;A arte de evoluir com toda a tranquilidade;6;552.2;545.23
04.163.295/0001-78;Teixeira;572245;2025-04-26;681356;A possibilidade de inovar direto da fonte;7;936.74;791.36
04.163.295/0001-78;Teixeira;902286;2025-03-20;942910;A simplicidade de conseguir mais rapidamente;6;816.98;1000.86
04.163.295/0001-78;Teixeira;902286;2025-03-20;454288;A possibilidade de conseguir com força total;5;980.65;848.93
04.163.295/0001-78;Teixeira;902286;2025-03-20;219938;A possibilidade de atingir seus objetivos naturalmente;5;275.74;207.95
04.163.295/0001-78;Teixeira;902286;2025-03-20;439928;O prazer de mudar mais facilmente;6;229.73;119.55
04.163.295/0001-78;Teixeira;902286;2025-03-20;709214;A simplicidade de ganhar com confiança;7;451.95;685.64
04.163.295/0001-78;Teixeira;938167;2025-04-23;409547;O prazer de atingir seus objetivos mais rapidamente;1;832.46;141.4
04.163.295/0001-78;Teixeira;938167;2025-04-23;443104;A possibilidade de atingir seus objetivos mais rapidamente;2;734.47;131.07
04.163.295/0001-78;Teixeira;938167;2025-04-23;675015;A certeza de avançar com confiança;8;671.67;553.56
04.163.295/0001-78;Teixeira;938167;2025-04-23;455145;A arte de evoluir simplesmente;10;316.08;568.67
19.675.348/0001-07;Peixoto S/A;675324;2025-03-23;891880;A possibilidade de atingir seus objetivos naturalmente;8;752.93;560.45
19.675.348/0001-07;Peixoto S/A;675324;2025-03-23;900200;A arte de ganhar mais rapidamente;10;971.27;2190.28
19.675.348/0001-07;Peixoto S/A;675324;2025-03-23;345188;A vantagem de evoluir mais rapidamente;5;66.66;58.74
19.675.348/0001-07;Peixoto S/A;117496;2025-03-16;385045;O poder de realizar seus sonhos antes de tudo;8;597.34;954.76
19.675.348/0001-07;Peixoto S/A;117496;2025-03-16;364463;A simplicidade de inovar antes de tudo;6;417.42;298.5
19.675.348/0001-07;Peixoto S/A;117496;2025-03-16;346560;O conforto de ganhar com força total;4;152.52;114.75
19.675.348/0001-07;Peixoto S/A;662728;2025-04-28;910392;A simplicidade de realizar seus sonhos de maneira eficaz;7;150.53;254.43
19.675.348/0001-07;Peixoto S/A;662728;2025-04-28;218713;O conforto de mudar antes de tudo;7;455.62;229.65
19.675.348/0001-07;Peixoto S/A;662728;2025-04-28;279822;O direito de realizar seus sonhos simplesmente;6;815.1;1065.92
19.675.348/0001-07;Peixoto S/A;662728;2025-04-28;750666;O conforto de mudar sem preocupação;10;66.37;154.09
19.675.348/0001-07;Peixoto S/A;662728;2025-04-28;729537;A arte de concretizar seus projetos direto da fonte;8;148.53;218.01
19.675.348/0001-07;Peixoto S/A;246957;2025-04-26;217506;A certeza de atingir seus objetivos com confiança;4;143.61;56.58
19.675.348/0001-07;Peixoto S/A;246957;2025-04-26;581611;O prazer de atingir seus objetivos sem preocupação;2;409.95;131.05
19.675.348/0001-07;Peixoto S/A;246957;2025-04-26;923959;A vantagem de ganhar naturalmente;6;186.81;117.15
19.675.348/0001-07;Peixoto S/A;135132;2025-05-07;489665;A simplicidade de conseguir mais facilmente;1;435.02;72.0
19.675.348/0001-07;Peixoto S/A;135132;2025-05-07;775468;A possibilidade de concretizar seus projetos direto da fonte;7;916.05;893.13
19.675.348/0001-07;Peixoto S/A;135132;2025-05-07;658343;A vantagem de mudar com toda a tranquilidade;4;620.23;350.09
19.675.348/0001-07;Peixoto S/A;767591;2025-03-30;382534;O poder de avançar com força total;5;169.39;59.24
19.675.348/0001-07;Peixoto S/A;767591;2025-03-30;906316;A possibilidade de avançar antes de tudo;8;981.24;1574.18
19.675.348/0001-07;Peixoto S/A;767591;2025-03-30;206773;A liberdade de evoluir mais facilmente;6;429.4;326.97
19.675.348/0001-07;Peixoto S/A;767591;2025-03-30;110856;A vantagem de evoluir mais facilmente;3;316.63;104.82
19.675.348/0001-07;Peixoto S/A;767591;2025-03-30;606965;O poder de evoluir mais facilmente;3;352.88;91.94
19.675.348/0001-07;Peixoto S/A;686281;2025-04-27;575578;A vantagem de mudar com força total;7;537.78;497.96
19.675.348/0001-07;Peixoto S/A;686281;2025-04-27;701048;A certeza de mudar com força total;7;864.91;1221.07
19.675.348/0001-07;Peixoto S/A;591992;2025-05-10;979049;A certeza de mudar com força total;3;800.8;543.81
19.675.348/0001-07;Peixoto S/A;591992;2025-05-10;899624;A segurança de evoluir mais facilmente;4;797.55;600.28
19.675.348/0001-07;Peixoto S/A;591992;2025-05-10;717456;A vantagem de evoluir antes de tudo;5;695.37;476.92
19.675.348/0001-07;Peixoto S/A;591992;2025-05-10;395719;O prazer de mudar de maneira eficaz;7;587.4;690.24
19.675.348/0001-07;Peixoto S/A;591992;2025-05-10;757975;A simplicidade de avançar mais facilmente;3;421.56;292.48
19.675.348/0001-07;Peixoto S/A;464245;2025-04-27;642688;O conforto de avançar em estado puro;10;892.43;2165.29
19.675.348/0001-07;Peixoto S/A;464245;2025-04-27;311707;A vantagem de mudar direto da fonte;9;714.91;443.84
19.675.348/0001-07;Peixoto S/A;464245;2025-04-27;836074;O poder de evoluir simplesmente;8;646.3;1169.6
19.675.348/0001-07;Peixoto S/A;464245;2025-04-27;588768;O conforto de concretizar seus projetos mais facilmente;9;498.44;648.54
19.675.348/0001-07;Peixoto S/A;464245;2025-04-27;843254;O poder de conseguir com força total;10;818.35;1860.03
19.675.348/0001-07;Peixoto S/A;333168;2025-04-30;745191;O poder de atingir seus objetivos com confiança;10;679.25;767.44
19.675.348/0001-07;Peixoto S/A;333168;2025-04-30;140223;A vantagem de evoluir simplesmente;8;236.69;96.03
19.675.348/0001-07;Peixoto S/A;471304;2025-04-05;363593;A liberdade de concretizar seus projetos em estado puro;7;940.98;1459.15
19.675.348/0001-07;Peixoto S/A;471304;2025-04-05;364104;A liberdade de mudar mais facilmente;9;855.16;559.73
19.675.348/0001-07;Peixoto S/A;471304;2025-04-05;553421;A simplicidade de concretizar seus projetos com confiança;2;166.18;78.9
19.675.348/0001-07;Peixoto S/A;471304;2025-04-05;864693;O prazer de inovar direto da fonte;6;779.43;1138.77
19.675.348/0001-07;Peixoto S/A;471304;2025-04-05;490469;A segurança de concretizar seus projetos com confiança;5;943.96;489.04
19.675.348/0001-07;Peixoto S/A;663934;2025-04-22;595383;A possibilidade de mudar com força total;2;407.46;85.73
19.675.348/0001-07;Peixoto S/A;663934;2025-04-22;299777;O prazer de inovar com toda a tranquilidade;1;322.95;76.45
19.675.348/0001-07;Peixoto S/A;680962;2025-05-07;219475;A certeza de mudar mais facilmente;10;617.11;904.22
19.675.348/0001-07;Peixoto S/A;680962;2025-05-07;222594;A simplicidade de conseguir direto da fonte;6;509.58;667.37
19.675.348/0001-07;Peixoto S/A;522911;2025-03-22;903881;A possibilidade de inovar sem preocupação;4;76.99;27.2
19.675.348/0001-07;Peixoto S/A;522911;2025-03-22;214213;O conforto de concretizar seus projetos antes de tudo;4;927.94;796.64
19.675.348/0001-07;Peixoto S/A;430668;2025-05-02;871112;O poder de realizar seus sonhos com toda a tranquilidade;10;363.31;617.93
19.675.348/0001-07;Peixoto S/A;430668;2025-05-02;462500;O direito de conseguir mais facilmente;10;435.09;482.45
19.675.348/0001-07;Peixoto S/A;430668;2025-05-02;632830;A arte de evoluir sem preocupação;8;555.57;426.59
19.675.348/0001-07;Peixoto S/A;430668;2025-05-02;691986;A certeza de avançar com confiança;3;248.96;136.21
